All Categories,Source Country,Source City,Source Airport,Destination Country,Destination City,Destination Airport,Airline Name,Sum of Flights
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination Airport:Shenzhen Bao'an International Airport,Airline Name:Shenzhen Airlines,39
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination Airport:Shenzhen Bao'an International Airport,Airline Name:Air China,37
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination Airport:Shenzhen Bao'an International Airport,Airline Name:China Southern Airlines,36
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination Airport:Shenzhen Bao'an International Airport,Airline Name:Hainan Airlines,18
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination Airport:Shenzhen Bao'an International Airport,Airline Name:China Eastern Airlines,8
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination Airport:Shenzhen Bao'an International Airport,Airline Name:All Nippon Airways,1
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination Airport:Chengdu Shuangliu International Airport,Airline Name:Shenzhen Airlines,50
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination Airport:Chengdu Shuangliu International Airport,Airline Name:Air China,50
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination Airport:Chengdu Shuangliu International Airport,Airline Name:China Eastern Airlines,19
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination Airport:Chengdu Shuangliu International Airport,Airline Name:China Southern Airlines,15
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination Airport:Chengdu Shuangliu International Airport,Airline Name:Hainan Airlines,3
All Categories:All Countries,Source Country:China,Source City:Others,Source Airport:Others,Destination Country:China,Destination City:Others,Destination Airport:Chengdu Shuangliu International Airport,Airline Name:KLM Royal Dutch Airlines,2
